sound_id,source_url,name,username,license,duration,samplerate,channels,type,tags,description,genre_inferred,bpm,key,acoustic_electronic,voice_instrumental,music_proxy_pass,duration_pass,license_pass,analysis_available,reason
454,https://freesound.org/people/oyenstikker/sounds/454/,unusual synthetic drone.wav,oyenstikker,http://creativecommons.org/licenses/sampling+/1.0/,71.9006,44100.0,2,wav,"[""drone"", ""synthesized""]","An unusual, long synthesized drone, with all sort of strange things happening. Sort of ends in a chord",,,,,,true,true,true,true,confirmed
539,https://freesound.org/people/TwistedLemon/sounds/539/,reverse_guitar.wav,TwistedLemon,https://creativecommons.org/licenses/by/4.0/,60.856,44100.0,2,wav,"[""delay"", ""guitar"", ""reverb"", ""reverse"", ""solo""]","A atonal solo on a electric guitar.Processing: reverse-delay, overdrive, reverb, amp simulation.",,,,,,true,true,true,true,confirmed
563,https://freesound.org/people/TwistedLemon/sounds/563/,MTG-elevator.wav,TwistedLemon,https://creativecommons.org/licenses/by/4.0/,49.3211,44100.0,2,wav,"[""barcelona"", ""door"", ""elevator"", ""industrial"", ""mtg""]",Take this elevator to visit the music technology group.,,,,,,true,true,true,true,confirmed
602,https://freesound.org/people/plagasul/sounds/602/,bonitoWindchime.wav,plagasul,https://creativecommons.org/licenses/by/4.0/,104.0,44100.0,2,wav,"[""harmonic"", ""reverberated"", ""rhythmic"", ""synthesized"", ""windchime""]","Windchime like, long synthesized sound with something like waterdrops in the background, reverberated",,,,,,true,true,true,true,confirmed
959,https://freesound.org/people/sleep/sounds/959/,whale guitar.wav,sleep,http://creativecommons.org/licenses/sampling+/1.0/,48.1873,44100.0,1,wav,"[""distortion"", ""guitar"", ""reverse"", ""solo"", ""volume-swell""]","Volume swell guitar solo; long, lots of pauses for easy cut and pasting.  Recorded with a Parker Fly into an MPC4000 through a Line6 Pod.",,,,,,true,true,true,true,confirmed
1205,https://freesound.org/people/Freed/sounds/1205/,011003C.mp3,Freed,https://creativecommons.org/licenses/by/4.0/,31.2593,44100.0,2,mp3,"[""instruments"", ""repetitions""]",String mix track,,,,,,true,true,true,true,confirmed
1276,https://freesound.org/people/plagasul/sounds/1276/,acords.wav,plagasul,https://creativecommons.org/licenses/by/4.0/,67.3451,44100.0,2,wav,"[""chord"", ""guitar"", ""loop"", ""mellow"", ""repetition"", ""repetitive"", ""slow""]",two mellow guitar chords with long decay being repeated 8 timesRecorded with motu 828mk2 on Soundforge.,,,,,,true,true,true,true,confirmed
1278,https://freesound.org/people/plagasul/sounds/1278/,arpeggio2complete.wav,plagasul,https://creativecommons.org/licenses/by/4.0/,82.9133,44100.0,2,wav,"[""arpeggio"", ""dreamy"", ""guitar"", ""long"", ""mellow"", ""repetition"", ""repetitive""]","repetitive arpeggio on electric guitar, mellow and dreamy long sequence.Recorded with motu 828mk2 on Soundforge.",,,,,,true,true,true,true,confirmed
1281,https://freesound.org/people/plagasul/sounds/1281/,arpeggio6lop.wav,plagasul,https://creativecommons.org/licenses/by/4.0/,36.2502,44100.0,2,wav,"[""arpeggio"", ""dreamy"", ""guitar"", ""loop"", ""melancholic"", ""mellow""]","Electric guitar arpeggio looped, with three chords, dreamy, melancholic and mellow. The sequence is repeated 4 times.Recorded with motu 828mk2 on Soundforge.",,,,,,true,true,true,true,confirmed
1298,https://freesound.org/people/Freed/sounds/1298/,160903J.mp3,Freed,https://creativecommons.org/licenses/by/4.0/,30.8397,44100.0,2,mp3,"[""layer"", ""orchestra""]",Dark raising orchestra sound,,,,,,true,true,true,true,confirmed
